"SH","binomial","ndiffsite","abn","ndead","hypave","conave","rhizave","ecm_status","unite_taxonomy"
"SH1557091.08FU","Mortierella_sp",1,1,0,4,1,1,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
"SH1150490.08FU","Botrytis_cinerea",1,1,0,2,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis_cinerea"
"SH1522255.08FU","Umbelopsis_autotrophica",1,1,,,,,"no","k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_autotrophica"
"SH1522982.08FU","Glutinomyces_sp",1,1,0,2,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Glutinomyces;s__Glutinomyces_sp"
"SH1608141.08FU","Mortierella_macrocystis",1,1,,,,,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_macrocystis"
"SH1608005.08FU","Mortierella_sp",1,1,,,,,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
"SH1562533.08FU","Tricholomataceae_sp",1,1,0,1,1,4,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__unidentified;s__Tricholomataceae_sp"
"SH1647307.08FU","Phialocephala_sp",1,1,0,1,2,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_sp"
"SH1738969.08FU","Trichoderma_fertile",1,1,,,,,"no","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_fertile"
"SH1506915.08FU","Amaurodon_sp",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Amaurodon;s__Amaurodon_sp"
"SH1522993.08FU","Hyaloscyphaceae_sp",1,1,0,4,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1523797.08FU","Pezoloma_ericae",1,1,0,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Pezoloma;s__Pezoloma_ericae"
"SH1563342.08FU","Oidiodendron_sp",1,1,0,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp"
"SH1542320.08FU","Mycena_sp",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_sp"
"SH1544242.08FU","Meliniomyces_sp",1,1,0,2,1,2,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;s__Meliniomyces_sp"
"SH1542295.08FU","Mycena_rebaudengoi",1,1,1,6,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_rebaudengoi"
"SH1574385.08FU","Agrocybe_sp",1,1,0,1,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Agrocybe;s__Agrocybe_sp"
"SH1565487.08FU","Oidiodendron_flavum",1,1,0,1,2,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_flavum"
"SH1650284.08FU","Mortierella_amoeboidea",1,1,0,1,1,1,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_amoeboidea"
"SH1564534.08FU","Myxotrichaceae_sp",1,1,,,,,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__unidentified;s__Myxotrichaceae_sp"
"SH1522921.08FU","Lachnum_pygmaeum",1,1,0,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum"
"SH1958320.08FU","Trichoderma_stellatum",1,1,0,4,1,1,"no","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_stellatum"
"SH1515825.08FU","Trechispora_stellulata",1,1,0,1,1,2,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_stellulata"
"SH1544424.08FU","Trechispora_invisitata",1,1,0,2,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_invisitata"
"SH1647913.08FU","Tephrocybe_mephitica",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Tephrocybe;s__Tephrocybe_mephitica"
"SH1570093.08FU","Ciboria_batschiana",1,1,,,,,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Ciboria;s__Ciboria_batschiana"
"SH1509369.08FU","Resinicium_bicolor",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Resinicium;s__Resinicium_bicolor"
"SH1542296.08FU","Mycena_metata",1,1,0,1,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_metata"
"SH1517981.08FU","Chaetosphaeriaceae_sp",1,1,,,,,"no","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__unidentified;s__Chaetosphaeriaceae_sp"
"SH1542322.08FU","Mycena_olivaceomarginata",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_olivaceomarginata"
"SH1544273.08FU","Meliniomyces_sp",1,1,1,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;s__Meliniomyces_sp"
"SH1706483.08FU","Mycena_megaspora",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_megaspora"
"SH1522933.08FU","Hyaloscyphaceae_sp",1,1,,,,,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1545890.08FU","Alatospora_acuminata",1,1,0,2,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora;s__Alatospora_acuminata"
"SH1544291.08FU","Meliniomyces_sp",1,1,0,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;s__Meliniomyces_sp"
"SH1567106.08FU","Delicatula_integrella",1,1,0,4,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Delicatula;s__Delicatula_integrella"
"SH1647299.08FU","Phialocephala_sp",1,1,0,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_sp"
"SH1645911.08FU","Tumularia_sp",1,1,0,2,2,4,"no","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleomassariaceae;g__Tumularia;s__Tumularia_sp"
"SH1543989.08FU","Luellia_recondita",1,1,0,6,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Luellia;s__Luellia_recondita"
"SH1243342.08FU","Armillaria_ostoyae",1,1,0,1,1,1,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria_ostoyae"
"SH1647283.08FU","Vibrissea_sp",1,1,1,1,1,1,"no","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Vibrissea;s__Vibrissea_sp"
"SH1629837.08FU","Mortierella_parvispora",1,1,,,,,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_parvispora"
"SH1557097.08FU","Mortierella_zonata",1,1,,,,,"no","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_zonata"
"SH1639473.08FU","Hypholoma_fasciculare",1,1,,,,,"no","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma;s__Hypholoma_fasciculare"
"SH1563951.08FU","Hebeloma_sp",53,81,4,2.14516129032258,1.04838709677419,1.01612903225806,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;s__Hebeloma_sp"
"SH1557014.08FU","Mortierella_gemmifera",8,10,0,1.66666666666666,1,1,"?","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_gemmifera"
"SH1170905.08FU","Mycena_galopus",7,7,2,1.8,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__Mycena_galopus"
"SH1560608.08FU","Otidea_nannfeldtii",1,4,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Otidea;s__Otidea_nannfeldtii"
"SH1523926.08FU","Hyaloscypha_variabilis",3,3,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_variabilis"
"SH1554512.08FU","Ceratobasidiaceae_sp",1,3,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__unidentified;s__Ceratobasidiaceae_sp"
"SH2589202.08FU","Myxotrichaceae_sp",3,3,0,5,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__unidentified;s__Myxotrichaceae_sp"
"SH1574254.08FU","Phaeocollybia_lugubris",2,3,0,1.66666666666666,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Phaeocollybia;s__Phaeocollybia_lugubris"
"SH2713392.08FU","Craterellus_sp",1,2,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Craterellus;s__Craterellus_sp"
"SH1615621.08FU","Lasiosphaeriaceae_sp",2,2,,,,,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__Lasiosphaeriaceae_sp"
"SH1524445.08FU","Lecanicillium_flavidum",2,2,0,1.5,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_flavidum"
"SH1242585.08FU","Russula_romellii",1,2,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_romellii"
"SH1626904.08FU","Venturiaceae_sp",1,2,1,2.5,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__unidentified;s__Venturiaceae_sp"
"SH1182435.08FU","Helotiaceae_sp",2,2,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp"
"SH1552440.08FU","Metapochonia_bulbillosa",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia;s__Metapochonia_bulbillosa"
"SH1546197.08FU","Trechispora_sp",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_sp"
"SH1577119.08FU","Leccinellum_lepidum",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Leccinellum;s__Leccinellum_lepidum"
"SH1240031.08FU","Dictyocatenulata_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetes_ord_Incertae_sedis;f__Lecanoromycetes_fam_Incertae_sedis;g__Dictyocatenulata;s__Dictyocatenulata_sp"
"SH1515316.08FU","Trichoderma_lixii",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_lixii"
"SH2593699.08FU","Atheliaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__unidentified;s__Atheliaceae_sp"
"SH1544245.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1156260.08FU","Meria_laricis",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Cenangiaceae;g__Meria;s__Meria_laricis"
"SH2593844.08FU","Oidiodendron_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp"
"SH1560329.08FU","Gymnopus_confluens",1,1,0,1,2,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Gymnopus;s__Gymnopus_confluens"
"SH1235442.08FU","Helotiaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp"
"SH2596400.08FU","Neopyrenopeziza_nigripigmentata",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Loramycetaceae;g__Neopyrenopeziza;s__Neopyrenopeziza_nigripigmentata"
"SH1626899.08FU","Venturia_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp"
"SH1559861.08FU","Mortierella_sp",1,1,,,,,"?","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
"SH2589065.08FU","Teratosphaeriaceae_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp"
"SH1568716.08FU","Trichoderma_semiorbis",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_semiorbis"
"SH1156174.08FU","Hyaloscyphaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1528208.08FU","Vishniacozyma_carnescens",1,1,1,4,1,1,"?","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens"
"SH1542668.08FU","Gymnopus_peronatus",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Gymnopus;s__Gymnopus_peronatus"
"SH1156144.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1615656.08FU","Chaetomium_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_sp"
"SH1544535.08FU","Scopuloides_hydnoides",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Scopuloides;s__Scopuloides_hydnoides"
"SH2700069.08FU","Clavulinaceae_sp",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__unidentified;s__Clavulinaceae_sp"
"SH1544263.08FU","Hyaloscyphaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1156032.08FU","Lasiodiplodia_theobromae",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_theobromae"
"SH1161090.08FU","Thermomyces_lanuginosus",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Thermomyces;s__Thermomyces_lanuginosus"
"SH2710234.08FU","Anamylopsora_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Baeomycetales;f__Anamylopsoraceae;g__Anamylopsora;s__Anamylopsora_sp"
"SH1182891.08FU","Abrothallus_doliiformis",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_doliiformis"
"SH1554546.08FU","Ceratobasidium_sp",1,1,0,6,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__Ceratobasidium_sp"
"SH1690377.08FU","Erysiphe_nothofagi",1,1,0,4,1,2,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Erysiphe;s__Erysiphe_nothofagi"
"SH1555953.08FU","Mortierella_angusta",1,1,,,,,"?","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_angusta"
"SH1544244.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1564824.08FU","Cryptosporiopsis_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Cryptosporiopsis;s__Cryptosporiopsis_sp"
"SH1518300.08FU","Humaria_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Humaria;s__Humaria_sp"
"SH1156133.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
